x: 0.000000, y: 0.000000, distance: 0.000000, weight: 1.000000
x: 0.500000, y: 0.500000, distance: 0.000000, weight: 1.000000
x: 1.000000, y: 1.000000, distance: 0.000000, weight: 1.000000
x: 1.500000, y: 1.500000, distance: 0.000000, weight: 1.000000
x: 2.000000, y: 2.000000, distance: 0.000000, weight: 1.000000
x: 5.000000, y: 5.000000, distance: 0.000000, weight: 1.000000
x: 6.000000, y: 6.000000, distance: 0.000000, weight: 1.000000
x: 7.000000, y: 7.000000, distance: 0.000000, weight: 1.000000
x: 8.000000, y: 8.000000, distance: 0.000000, weight: 1.000000
x: 9.000000, y: 9.000000, distance: 0.000000, weight: 1.000000
x: 10.000000, y: 10.000000, distance: 0.000000, weight: 1.000000
x: 11.000000, y: 11.000000, distance: 0.000000, weight: 1.000000
x: 12.000000, y: 12.000000, distance: 0.000000, weight: 1.000000
x: 13.000000, y: 13.000000, distance: 0.000000, weight: 1.000000
x: 14.000000, y: 14.000000, distance: 0.000000, weight: 1.000000
x: 15.000000, y: 15.000000, distance: 0.000000, weight: 1.000000
x: 16.000000, y: 16.000000, distance: 0.000000, weight: 1.000000
x: 17.000000, y: 17.000000, distance: 0.000000, weight: 1.000000
x: 18.000000, y: 18.000000, distance: 0.000000, weight: 1.000000
x: 19.000000, y: 19.000000, distance: 0.000000, weight: 1.000000
x: 10.000000, y: 10.000000, distance: 0.000000, weight: 1.000000
x: 10.500000, y: 10.500000, distance: 0.000000, weight: 1.000000
