x: 0.000000, y: 0.000000, distance: 0.000000, weight: 1.000000
x: 0.500000, y: 0.500000, distance: 0.000000, weight: 1.000000
x: 1.000000, y: 1.000000, distance: 0.000000, weight: 1.000000
x: 1.500000, y: 1.500000, distance: 0.000000, weight: 1.000000
x: 2.000000, y: 2.000000, distance: 0.000000, weight: 1.000000
x: 2.500000, y: 2.500000, distance: 0.000000, weight: 1.000000
x: 3.000000, y: 3.000000, distance: 0.000000, weight: 1.000000
x: 3.500000, y: 3.500000, distance: 0.000000, weight: 1.000000
x: 4.000000, y: 4.000000, distance: 0.000000, weight: 1.000000
x: 4.500000, y: 4.500000, distance: 0.000000, weight: 1.000000
x: 5.000000, y: 5.000000, distance: 0.000000, weight: 1.000000
x: 5.500000, y: 5.500000, distance: 0.000000, weight: 1.000000
x: 6.000000, y: 6.000000, distance: 0.000000, weight: 1.000000
x: 6.500000, y: 6.500000, distance: 0.000000, weight: 1.000000
x: 7.000000, y: 7.000000, distance: 0.000000, weight: 1.000000
x: 7.500000, y: 7.500000, distance: 0.000000, weight: 1.000000
x: 8.000000, y: 8.000000, distance: 0.000000, weight: 1.000000
x: 8.500000, y: 8.500000, distance: 0.000000, weight: 1.000000
x: 9.000000, y: 9.000000, distance: 0.000000, weight: 1.000000
x: 9.500000, y: 9.500000, distance: 0.000000, weight: 1.000000
x: 10.000000, y: 10.000000, distance: 0.000000, weight: 1.000000
x: 10.500000, y: 10.500000, distance: 0.000000, weight: 1.000000
