Fish Data:
x: 5.478325, y: 4.214924, distance: 2.256852, weight: 1.545632
x: 4.858485, y: 6.553977, distance: 26.958976, weight: 4.975247
x: 7.948005, y: 2.114370, distance: 62.245830, weight: 3.283350
x: 6.543142, y: 0.581450, distance: 24.353424, weight: 0.400019
x: 6.253599, y: 4.236379, distance: 8.139093, weight: 4.686639
x: 6.670638, y: 3.407152, distance: 40.088072, weight: 3.010890
x: 8.073163, y: 5.647003, distance: 91.788962, weight: 4.853915
x: 9.510371, y: 0.799923, distance: 43.094505, weight: 4.467213
x: 0.895823, y: 6.094006, distance: 19.611921, weight: 0.877838
x: 7.655693, y: 9.237464, distance: 40.529889, weight: 4.292361
x: 3.427827, y: 1.486845, distance: 94.087429, weight: 1.370974
x: 3.904689, y: 6.109399, distance: 6.773242, weight: 1.893785
x: 7.679388, y: 7.475455, distance: 99.647782, weight: 4.013993
x: 6.365137, y: 8.855067, distance: 71.105557, weight: 3.554603
x: 4.410230, y: 2.732522, distance: 55.044537, weight: 1.676917
x: 7.879822, y: 6.172531, distance: 17.312320, weight: 3.407802
